cell,label,tp,pp,layer_split,workload,tps,runtime_s,ttft_ms,success
mistral123b_TP4PP2_layer_skew+12_56-32_decode_heavy,TP4PP2_layer_skew+12_56-32,4,2,56-32,decode_heavy,1028.9,47.8,1437.6,True
mistral123b_TP4PP2_layer_skew+12_56-32_prefill_heavy,TP4PP2_layer_skew+12_56-32,4,2,56-32,prefill_heavy,898.1,13.7,1793.5,True
mistral123b_TP4PP2_layer_skew+16_60-28_balanced,TP4PP2_layer_skew+16_60-28,4,2,60-28,balanced,934.6,26.3,1425.7,True
mistral123b_TP4PP2_layer_skew+16_60-28_decode_heavy,TP4PP2_layer_skew+16_60-28,4,2,60-28,decode_heavy,966.8,50.8,1347.2,True
mistral123b_TP4PP2_layer_skew+16_60-28_prefill_heavy,TP4PP2_layer_skew+16_60-28,4,2,60-28,prefill_heavy,850.2,14.5,1807.0,True
mistral123b_TP2PP4_layer_uniform_22-22-22-22_balanced,TP2PP4_layer_uniform_22-22-22-22,2,4,22-22-22-22,balanced,539.3,45.6,2004.6,True
mistral123b_TP2PP4_layer_uniform_22-22-22-22_decode_heavy,TP2PP4_layer_uniform_22-22-22-22,2,4,22-22-22-22,decode_heavy,549.2,89.5,2115.1,True
mistral123b_TP2PP4_layer_uniform_22-22-22-22_prefill_heavy,TP2PP4_layer_uniform_22-22-22-22,2,4,22-22-22-22,prefill_heavy,488.4,25.2,2546.4,True
mistral123b_TP2PP4_layer_blackbias_24-24-20-20_balanced,TP2PP4_layer_blackbias_24-24-20-20,2,4,24-24-20-20,balanced,590.4,41.6,1920.0,True
mistral123b_TP2PP4_layer_blackbias_24-24-20-20_decode_heavy,TP2PP4_layer_blackbias_24-24-20-20,2,4,24-24-20-20,decode_heavy,601.3,81.7,2046.4,True
mistral123b_TP2PP4_layer_blackbias_24-24-20-20_prefill_heavy,TP2PP4_layer_blackbias_24-24-20-20,2,4,24-24-20-20,prefill_heavy,544.5,22.6,2622.3,True
mistral123b_TP2PP4_layer_blackbias_26-26-18-18_balanced,TP2PP4_layer_blackbias_26-26-18-18,2,4,26-26-18-18,balanced,648.7,37.9,2025.9,True
mistral123b_TP2PP4_layer_blackbias_26-26-18-18_decode_heavy,TP2PP4_layer_blackbias_26-26-18-18,2,4,26-26-18-18,decode_heavy,664.0,74.0,2133.2,True
mistral123b_TP2PP4_layer_blackbias_26-26-18-18_prefill_heavy,TP2PP4_layer_blackbias_26-26-18-18,2,4,26-26-18-18,prefill_heavy,598.2,20.5,2453.0,True
mistral123b_TP1PP8_layer_uniform_11x8_balanced,TP1PP8_layer_uniform_11x8,1,8,11-11-11-11-11-11-11-11,balanced,287.6,85.5,3747.9,True
mistral123b_TP1PP8_layer_uniform_11x8_decode_heavy,TP1PP8_layer_uniform_11x8,1,8,11-11-11-11-11-11-11-11,decode_heavy,295.0,166.6,3263.2,True
mistral123b_TP1PP8_layer_uniform_11x8_prefill_heavy,TP1PP8_layer_uniform_11x8,1,8,11-11-11-11-11-11-11-11,prefill_heavy,273.3,45.0,4035.4,True
mistral123b_TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9_balanced,TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9,1,8,13-13-13-13-9-9-9-9,balanced,345.9,71.0,3904.2,True
mistral123b_TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9_decode_heavy,TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9,1,8,13-13-13-13-9-9-9-9,decode_heavy,356.0,138.1,3273.3,True
mistral123b_TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9_prefill_heavy,TP1PP8_layer_blackbias_13-13-13-13-9-9-9-9,1,8,13-13-13-13-9-9-9-9,prefill_heavy,320.3,38.4,4443.8,True
mistral123b_TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7_balanced,TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7,1,8,15-15-15-15-7-7-7-7,balanced,393.8,62.4,3028.9,True
mistral123b_TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7_decode_heavy,TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7,1,8,15-15-15-15-7-7-7-7,decode_heavy,404.9,121.4,2953.6,True
mistral123b_TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7_prefill_heavy,TP1PP8_layer_blackbias_15-15-15-15-7-7-7-7,1,8,15-15-15-15-7-7-7-7,prefill_heavy,360.9,34.1,4383.8,True
